"","state","city","population"
"11","全国","全国","127,094,745"
"12","北海道","北海道","5,381,733"
"13","北海道","札幌市","1,952,356"
"14","北海道","札幌市 中央区","237,627"
"15","北海道","札幌市 北区","285,321"
"16","北海道","札幌市 東区","261,912"
"17","北海道","札幌市 白石区","209,584"
"18","北海道","札幌市 豊平区","218,652"
"19","北海道","札幌市 南区","141,190"
"20","北海道","札幌市 西区","213,578"
"21","北海道","札幌市 厚別区","127,767"
"22","北海道","札幌市 手稲区","140,999"
"23","北海道","札幌市 清田区","115,726"
"24","北海道","函館市","265,979"
"25","北海道","小樽市","121,924"
"26","北海道","旭川市","339,605"
"27","北海道","室蘭市","88,564"
"28","北海道","釧路市","174,742"
"29","北海道","帯広市","169,327"
"30","北海道","北見市","121,226"
"31","北海道","夕張市","8,843"
"32","北海道","岩見沢市","84,499"
"33","北海道","網走市","39,077"
"34","北海道","留萌市","22,221"
"35","北海道","苫小牧市","172,737"
"36","北海道","稚内市","36,380"
"37","北海道","美唄市","23,035"
"38","北海道","芦別市","14,676"
"39","北海道","江別市","120,636"
"40","北海道","赤平市","11,105"
"41","北海道","紋別市","23,109"
"42","北海道","士別市","19,914"
"43","北海道","名寄市","29,048"
"44","北海道","三笠市","9,076"
"45","北海道","根室市","26,917"
"46","北海道","千歳市","95,648"
"47","北海道","滝川市","41,192"
"48","北海道","砂川市","17,694"
"49","北海道","歌志内市","3,585"
"50","北海道","深川市","21,909"
"51","北海道","富良野市","22,936"
"52","北海道","登別市","49,625"
"53","北海道","恵庭市","69,702"
"54","北海道","伊達市","34,995"
"55","北海道","北広島市","59,064"
"56","北海道","石狩市","57,436"
"57","北海道","北斗市","46,390"
"58","北海道","当別町","17,278"
"59","北海道","新篠津村","3,329"
"60","北海道","松前町","7,337"
"61","北海道","福島町","4,422"
"62","北海道","知内町","4,653"
"63","北海道","木古内町","4,547"
"64","北海道","七飯町","28,120"
"65","北海道","鹿部町","4,226"
"66","北海道","森町","15,946"
"67","北海道","八雲町","17,252"
"68","北海道","長万部町","5,926"
"69","北海道","江差町","8,248"
"70","北海道","上ノ国町","4,876"
"71","北海道","厚沢部町","4,049"
"72","北海道","乙部町","3,906"
"73","北海道","奥尻町","2,690"
"74","北海道","今金町","5,628"
"75","北海道","せたな町","8,473"
"76","北海道","島牧村","1,499"
"77","北海道","寿都町","3,137"
"78","北海道","黒松内町","3,082"
"79","北海道","蘭越町","4,843"
"80","北海道","ニセコ町","4,958"
